Title,Description,Phase,Layer,Priority
Coding assessment service 6,Coding assessment service task 6,Phase 2,Backend,Medium
Coding assessment service 7,Coding assessment service task 7,Phase 2,Backend,Medium
Coding assessment service 8,Coding assessment service task 8,Phase 2,Backend,Medium
Coding assessment service 9,Coding assessment service task 9,Phase 2,Backend,Medium
Coding assessment service 10,Coding assessment service task 10,Phase 2,Backend,Medium
Coding assessment service 11,Coding assessment service task 11,Phase 2,Backend,Medium
Coding assessment service 12,Coding assessment service task 12,Phase 2,Backend,Medium
Resume intelligence service 1,Resume intelligence service task 1,Phase 2,Backend,Medium
Resume intelligence service 2,Resume intelligence service task 2,Phase 2,Backend,Medium
Resume intelligence service 3,Resume intelligence service task 3,Phase 2,Backend,Medium
Resume intelligence service 4,Resume intelligence service task 4,Phase 2,Backend,Medium
Resume intelligence service 5,Resume intelligence service task 5,Phase 2,Backend,Medium
Resume intelligence service 6,Resume intelligence service task 6,Phase 2,Backend,Medium
Resume intelligence service 7,Resume intelligence service task 7,Phase 2,Backend,Medium
Resume intelligence service 8,Resume intelligence service task 8,Phase 2,Backend,Medium
Resume intelligence service 9,Resume intelligence service task 9,Phase 2,Backend,Medium
Resume intelligence service 10,Resume intelligence service task 10,Phase 2,Backend,Medium
Coding editor UI 1,Coding editor UI task 1,Phase 2,Frontend,Medium
Coding editor UI 2,Coding editor UI task 2,Phase 2,Frontend,Medium
Coding editor UI 3,Coding editor UI task 3,Phase 2,Frontend,Medium
Coding editor UI 4,Coding editor UI task 4,Phase 2,Frontend,Medium
Coding editor UI 5,Coding editor UI task 5,Phase 2,Frontend,Medium
Coding editor UI 6,Coding editor UI task 6,Phase 2,Frontend,Medium
Coding editor UI 7,Coding editor UI task 7,Phase 2,Frontend,Medium
Coding editor UI 8,Coding editor UI task 8,Phase 2,Frontend,Medium
Coding editor UI 9,Coding editor UI task 9,Phase 2,Frontend,Medium
Coding editor UI 10,Coding editor UI task 10,Phase 2,Frontend,Medium
Analytics dashboard UI 1,Analytics dashboard UI task 1,Phase 2,Frontend,Medium
Analytics dashboard UI 2,Analytics dashboard UI task 2,Phase 2,Frontend,Medium
Analytics dashboard UI 3,Analytics dashboard UI task 3,Phase 2,Frontend,Medium
Analytics dashboard UI 4,Analytics dashboard UI task 4,Phase 2,Frontend,Medium
Analytics dashboard UI 5,Analytics dashboard UI task 5,Phase 2,Frontend,Medium
Analytics dashboard UI 6,Analytics dashboard UI task 6,Phase 2,Frontend,Medium
Analytics dashboard UI 7,Analytics dashboard UI task 7,Phase 2,Frontend,Medium
Analytics dashboard UI 8,Analytics dashboard UI task 8,Phase 2,Frontend,Medium
Coding system schema 1,Coding system schema task 1,Phase 2,Database,Medium
Coding system schema 2,Coding system schema task 2,Phase 2,Database,Medium
Coding system schema 3,Coding system schema task 3,Phase 2,Database,Medium
Coding system schema 4,Coding system schema task 4,Phase 2,Database,Medium
Coding system schema 5,Coding system schema task 5,Phase 2,Database,Medium
Coding system schema 6,Coding system schema task 6,Phase 2,Database,Medium
Coding system schema 7,Coding system schema task 7,Phase 2,Database,Medium
Coding system schema 8,Coding system schema task 8,Phase 2,Database,Medium
Code execution sandbox 1,Code execution sandbox task 1,Phase 2,DevOps,Medium
Code execution sandbox 2,Code execution sandbox task 2,Phase 2,DevOps,Medium
Code execution sandbox 3,Code execution sandbox task 3,Phase 2,DevOps,Medium
Code execution sandbox 4,Code execution sandbox task 4,Phase 2,DevOps,Medium
Code execution sandbox 5,Code execution sandbox task 5,Phase 2,DevOps,Medium
Code execution sandbox 6,Code execution sandbox task 6,Phase 2,DevOps,Medium
Code execution sandbox 7,Code execution sandbox task 7,Phase 2,DevOps,Medium
Code execution sandbox 8,Code execution sandbox task 8,Phase 2,DevOps,Medium
Voice interview service 1,Voice interview service task 1,Phase 3,Backend,Medium
Voice interview service 2,Voice interview service task 2,Phase 3,Backend,Medium
Voice interview service 3,Voice interview service task 3,Phase 3,Backend,Medium
Voice interview service 4,Voice interview service task 4,Phase 3,Backend,Medium
Voice interview service 5,Voice interview service task 5,Phase 3,Backend,Medium
Voice interview service 6,Voice interview service task 6,Phase 3,Backend,Medium
Voice interview service 7,Voice interview service task 7,Phase 3,Backend,Medium
Voice interview service 8,Voice interview service task 8,Phase 3,Backend,Medium
Voice interview service 9,Voice interview service task 9,Phase 3,Backend,Medium
Voice interview service 10,Voice interview service task 10,Phase 3,Backend,Medium
Video interview service 1,Video interview service task 1,Phase 3,Backend,Medium
Video interview service 2,Video interview service task 2,Phase 3,Backend,Medium
Video interview service 3,Video interview service task 3,Phase 3,Backend,Medium
Video interview service 4,Video interview service task 4,Phase 3,Backend,Medium
Video interview service 5,Video interview service task 5,Phase 3,Backend,Medium
Video interview service 6,Video interview service task 6,Phase 3,Backend,Medium
Video interview service 7,Video interview service task 7,Phase 3,Backend,Medium
Video interview service 8,Video interview service task 8,Phase 3,Backend,Medium
Video interview service 9,Video interview service task 9,Phase 3,Backend,Medium
Video interview service 10,Video interview service task 10,Phase 3,Backend,Medium
AI evaluation improvements 1,AI evaluation improvements task 1,Phase 3,Backend,Medium
AI evaluation improvements 2,AI evaluation improvements task 2,Phase 3,Backend,Medium
AI evaluation improvements 3,AI evaluation improvements task 3,Phase 3,Backend,Medium
AI evaluation improvements 4,AI evaluation improvements task 4,Phase 3,Backend,Medium
AI evaluation improvements 5,AI evaluation improvements task 5,Phase 3,Backend,Medium
AI evaluation improvements 6,AI evaluation improvements task 6,Phase 3,Backend,Medium
AI evaluation improvements 7,AI evaluation improvements task 7,Phase 3,Backend,Medium
AI evaluation improvements 8,AI evaluation improvements task 8,Phase 3,Backend,Medium
AI evaluation improvements 9,AI evaluation improvements task 9,Phase 3,Backend,Medium
AI evaluation improvements 10,AI evaluation improvements task 10,Phase 3,Backend,Medium
Voice interview UI 1,Voice interview UI task 1,Phase 3,Frontend,Medium
Voice interview UI 2,Voice interview UI task 2,Phase 3,Frontend,Medium
Voice interview UI 3,Voice interview UI task 3,Phase 3,Frontend,Medium
Voice interview UI 4,Voice interview UI task 4,Phase 3,Frontend,Medium
Voice interview UI 5,Voice interview UI task 5,Phase 3,Frontend,Medium
Voice interview UI 6,Voice interview UI task 6,Phase 3,Frontend,Medium
Voice interview UI 7,Voice interview UI task 7,Phase 3,Frontend,Medium
Voice interview UI 8,Voice interview UI task 8,Phase 3,Frontend,Medium
Video interview UI 1,Video interview UI task 1,Phase 3,Frontend,Medium
Video interview UI 2,Video interview UI task 2,Phase 3,Frontend,Medium
Video interview UI 3,Video interview UI task 3,Phase 3,Frontend,Medium
Video interview UI 4,Video interview UI task 4,Phase 3,Frontend,Medium
Video interview UI 5,Video interview UI task 5,Phase 3,Frontend,Medium
Video interview UI 6,Video interview UI task 6,Phase 3,Frontend,Medium
Video interview UI 7,Video interview UI task 7,Phase 3,Frontend,Medium
Video interview UI 8,Video interview UI task 8,Phase 3,Frontend,Medium
Media storage schema 1,Media storage schema task 1,Phase 3,Database,Medium
Media storage schema 2,Media storage schema task 2,Phase 3,Database,Medium
Media storage schema 3,Media storage schema task 3,Phase 3,Database,Medium
Media storage schema 4,Media storage schema task 4,Phase 3,Database,Medium
Media storage schema 5,Media storage schema task 5,Phase 3,Database,Medium
Media storage schema 6,Media storage schema task 6,Phase 3,Database,Medium
Media infrastructure 1,Media infrastructure task 1,Phase 3,DevOps,Medium
Media infrastructure 2,Media infrastructure task 2,Phase 3,DevOps,Medium
Media infrastructure 3,Media infrastructure task 3,Phase 3,DevOps,Medium
Media infrastructure 4,Media infrastructure task 4,Phase 3,DevOps,Medium
Media infrastructure 5,Media infrastructure task 5,Phase 3,DevOps,Medium
Media infrastructure 6,Media infrastructure task 6,Phase 3,DevOps,Medium
Multi-tenant architecture 1,Multi-tenant architecture task 1,Phase 4,Backend,Medium
Multi-tenant architecture 2,Multi-tenant architecture task 2,Phase 4,Backend,Medium
Multi-tenant architecture 3,Multi-tenant architecture task 3,Phase 4,Backend,Medium
Multi-tenant architecture 4,Multi-tenant architecture task 4,Phase 4,Backend,Medium
Multi-tenant architecture 5,Multi-tenant architecture task 5,Phase 4,Backend,Medium
Multi-tenant architecture 6,Multi-tenant architecture task 6,Phase 4,Backend,Medium
Multi-tenant architecture 7,Multi-tenant architecture task 7,Phase 4,Backend,Medium
Multi-tenant architecture 8,Multi-tenant architecture task 8,Phase 4,Backend,Medium
Multi-tenant architecture 9,Multi-tenant architecture task 9,Phase 4,Backend,Medium
Multi-tenant architecture 10,Multi-tenant architecture task 10,Phase 4,Backend,Medium
Subscription system 1,Subscription system task 1,Phase 4,Backend,Medium
Subscription system 2,Subscription system task 2,Phase 4,Backend,Medium
Subscription system 3,Subscription system task 3,Phase 4,Backend,Medium
Subscription system 4,Subscription system task 4,Phase 4,Backend,Medium
Subscription system 5,Subscription system task 5,Phase 4,Backend,Medium
Subscription system 6,Subscription system task 6,Phase 4,Backend,Medium
Subscription system 7,Subscription system task 7,Phase 4,Backend,Medium
Subscription system 8,Subscription system task 8,Phase 4,Backend,Medium
Company admin portal 1,Company admin portal task 1,Phase 4,Frontend,Medium
Company admin portal 2,Company admin portal task 2,Phase 4,Frontend,Medium
Company admin portal 3,Company admin portal task 3,Phase 4,Frontend,Medium
Company admin portal 4,Company admin portal task 4,Phase 4,Frontend,Medium
Company admin portal 5,Company admin portal task 5,Phase 4,Frontend,Medium
Company admin portal 6,Company admin portal task 6,Phase 4,Frontend,Medium
Company admin portal 7,Company admin portal task 7,Phase 4,Frontend,Medium
Company admin portal 8,Company admin portal task 8,Phase 4,Frontend,Medium
Billing UI 1,Billing UI task 1,Phase 4,Frontend,Medium
Billing UI 2,Billing UI task 2,Phase 4,Frontend,Medium
Billing UI 3,Billing UI task 3,Phase 4,Frontend,Medium
Billing UI 4,Billing UI task 4,Phase 4,Frontend,Medium
Billing UI 5,Billing UI task 5,Phase 4,Frontend,Medium
Billing UI 6,Billing UI task 6,Phase 4,Frontend,Medium
SaaS billing schema 1,SaaS billing schema task 1,Phase 4,Database,Medium
SaaS billing schema 2,SaaS billing schema task 2,Phase 4,Database,Medium
SaaS billing schema 3,SaaS billing schema task 3,Phase 4,Database,Medium
SaaS billing schema 4,SaaS billing schema task 4,Phase 4,Database,Medium
SaaS billing schema 5,SaaS billing schema task 5,Phase 4,Database,Medium
SaaS billing schema 6,SaaS billing schema task 6,Phase 4,Database,Medium
Scaling infrastructure 1,Scaling infrastructure task 1,Phase 4,DevOps,Medium
Scaling infrastructure 2,Scaling infrastructure task 2,Phase 4,DevOps,Medium
Scaling infrastructure 3,Scaling infrastructure task 3,Phase 4,DevOps,Medium
Scaling infrastructure 4,Scaling infrastructure task 4,Phase 4,DevOps,Medium
Scaling infrastructure 5,Scaling infrastructure task 5,Phase 4,DevOps,Medium
Scaling infrastructure 6,Scaling infrastructure task 6,Phase 4,DevOps,Medium
Scaling infrastructure 7,Scaling infrastructure task 7,Phase 4,DevOps,Medium
Scaling infrastructure 8,Scaling infrastructure task 8,Phase 4,DevOps,Medium
